ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"DCI US Equity",US2576511099,USD,37.61,37.61,1
"GNTX US Equity",US3719011096,USD,17.51,17.51,1
"WAB US Equity",US9297401088,USD,85.14,85.14,1
"IDXX US Equity",US45168D1046,USD,146.31,146.31,1
"HMSY US Equity",US40425J1016,USD,20.93,20.93,1
"RCII US Equity",US76009N1000,USD,34.76,34.76,1
"BIG US Equity",US0893021032,USD,39.74,39.74,1
"AAN US Equity",US0025353006,USD,30.5,30.5,1
"WPX US Equity",US98212B1035,USD,10.87,10.87,1
"SM US Equity",US78454L1008,USD,35.82,35.82,1
"CLGX US Equity",US21871D1037,USD,30.78,30.78,1
"JNS US Equity",US47102X1054,USD,15.73,15.73,1
"DV US Equity",US2518931033,USD,44.89,44.89,1
"FII US Equity",US3142111034,USD,32.27,32.27,1
"BIO US Equity",US0905722072,USD,120.39,120.39,1
"FAF US Equity",US31847R1023,USD,33.34,33.34,1
"DST US Equity",US2333261079,USD,94.05,94.05,1
"APOL US Equity",US0376041051,USD,32.65,32.65,1
"WEX US Equity",US96208T1043,USD,96.01,96.01,1
"WDR US Equity",US9300591008,USD,47.89,47.89,1
"ULTI US Equity",US90385D1072,USD,144.22,144.22,1
"STR US Equity",US7483561020,USD,24.78,24.78,1
"MDU US Equity",US5526901096,USD,23.45,23.45,1
"WTR US Equity",US03836W1036,USD,26.32,26.32,1
"EGN US Equity",US29265N1081,USD,59.47,59.47,1
"EV US Equity",US2782651036,USD,39.48,39.48,1
"GHC US Equity",US3846371041,USD,872.02,872.02,1
"JKHY US Equity",US4262811015,USD,61.63,61.63,1
"MSCI US Equity",US55354G1004,USD,47.24,47.24,1
"GPN US Equity",US37940X1028,USD,79.28,79.28,1
"NFG US Equity",US6361801011,USD,68.25,68.25,1
"FDS US Equity",US3030751057,USD,138.39,138.39,1
"SEIC US Equity",US7841171033,USD,38.95,38.95,1
"HOLX US Equity",US4364401012,USD,26.12,26.12,1
"TW US Equity",US8918941076,USD,111.42,111.42,1
"WERN US Equity",US9507551086,USD,30.49,30.49,1
"CNW US Equity",US2059441012,USD,47.33,47.33,1
"LSTR US Equity",US5150981018,USD,69.49,69.49,1
"ODFL US Equity",US6795801009,USD,75.54,75.54,1
"JBHT US Equity",US4456581077,USD,81.85,81.85,1
"ADVS US Equity",US0079741080,USD,29.71,29.71,1
"MDRX US Equity",US01988P1084,USD,12.87,12.87,1
"ACIW US Equity",US0044981019,USD,19.26,19.26,1
"CVLT US Equity",US2041661024,USD,50.39,50.39,1
"TYL US Equity",US9022521051,USD,105.97,105.97,1
"SWI US Equity",US83416B1098,USD,50.12,50.12,1
